,category_round_id,round_name,score,ascents,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages
39,6768,Semi-Final,30,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '30', 'plus': False, 'restarted': False, 'time_ms': 220000, 'modified': '2021-09-21 09:12:43 +00:00', 'status': 'confirmed'}]",1153,16,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
40,6141,Qualification,27.25,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]",1486,17,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
41,6768,Semi-Final,30,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '30', 'plus': False, 'restarted': False, 'time_ms': 190000, 'modified': '2021-09-21 07:15:52 +00:00', 'status': 'confirmed'}]",1486,17,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
42,6141,Qualification,20.15,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 27, 'corrective_rank': 28, 'score': '25'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 14, 'corrective_rank': 14.5, 'score': '38+'}]",144,18,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
43,6768,Semi-Final,29,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '29', 'plus': False, 'restarted': False, 'time_ms': 197000, 'modified': '2021-09-21 07:56:30 +00:00', 'status': 'confirmed'}]",144,18,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
44,6141,Qualification,9.5,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 9, 'corrective_rank': 9.5, 'score': '36+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1161,19,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
45,6768,Semi-Final,28+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 176000, 'modified': '2021-09-21 08:54:47 +00:00', 'status': 'confirmed'}]",1161,19,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
46,6141,Qualification,20.68,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",11420,20,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
47,6768,Semi-Final,28+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 208000, 'modified': '2021-09-21 07:51:42 +00:00', 'status': 'confirmed'}]",11420,20,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
48,6141,Qualification,23.24,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 24, 'corrective_rank': 24, 'score': '33+'}]",1148,21,Tjasa,SLEMENSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
