event_id,event_name,categories_list
966,European Youth Championships (B) - Langenfeld (AUT) 2016 ,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/966/result/235'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/966/result/239'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/966/result/243'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/966/result/251'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/966/result/255'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/966/result/259'}]"
967,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016 ","[{'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/967/result/234'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/967/result/238'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/967/result/242'}, {'category': 'SPEED Juniors Female', 'results_url': '/api/v1/events/967/result/250'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/967/result/254'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/967/result/258'}, {'category': 'LEAD Juniors Male', 'results_url': '/api/v1/events/967/result/233'}, {'category': 'LEAD Youth A Male', 'results_url': '/api/v1/events/967/result/237'}, {'category': 'LEAD Youth B Male', 'results_url': '/api/v1/events/967/result/241'}, {'category': 'LEAD Juniors Female', 'results_url': '/api/v1/events/967/result/249'}, {'category': 'LEAD Youth A Female', 'results_url': '/api/v1/events/967/result/253'}, {'category': 'LEAD Youth B Female', 'results_url': '/api/v1/events/967/result/257'}]"
968,European Youth Cup (S) - Imst (AUT) 2016 ,"[{'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/968/result/234'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/968/result/238'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/968/result/242'}, {'category': 'SPEED Juniors Female', 'results_url': '/api/v1/events/968/result/250'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/968/result/254'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/968/result/258'}]"
969,Oceania Continental Championship - Sidney (AUS) 2016,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/969/result/489'}, {'category': 'LEAD Juniors Male', 'results_url': '/api/v1/events/969/result/493'}, {'category': 'LEAD Youth A Male', 'results_url': '/api/v1/events/969/result/497'}, {'category': 'LEAD Youth B Male', 'results_url': '/api/v1/events/969/result/501'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/969/result/509'}, {'category': 'LEAD Juniors Female', 'results_url': '/api/v1/events/969/result/513'}, {'category': 'LEAD Youth A Female', 'results_url': '/api/v1/events/969/result/517'}, {'category': 'LEAD Youth B Female', 'results_url': '/api/v1/events/969/result/521'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/969/result/490'}, {'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/969/result/494'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/969/result/498'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/969/result/502'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/969/result/510'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/969/result/518'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/969/result/522'}]"
970,"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2016",[]
971,Promotional Event - 24 heures du mur (L) - Oloron Sainte Marie (FRA) 2016,[]
972,"European Universities Games (L, S, B) - Zagreb (CRO) 2016",[]
973,World University Championships - Shanghai (CHN) 2016,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/973/result/353'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/973/result/373'}, {'category': 'BOULDER Men', 'results_url': '/api/v1/events/973/result/355'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/973/result/375'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/973/result/354'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/973/result/374'}]"
974,Promotional Event Just Climb Cup (B) - Hong Kong (HKG) 2016,[]
975,Promotional Event Gravical (B) - Singapore (SIN) 2016,[]
976,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/976/result/395'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/976/result/415'}]"
977,"Promotional Event in memory of Pavel Samoilin (L, S) - Crimea 2016",[]
978,Master Event  (B) - Nanjing (CHN) 2016,[]
979,Promotional Event (B) IMF GIRIVIHAR - Navi Mumbai (IND) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/979/result/395'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/979/result/415'}]"
980,Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2016,[]
981,Master Event - Tout à Bloc (B) - L'Argentière la Bessée (FRA) 2016,"[{'category': 'BOULDER Men', 'results_url': '/api/v1/events/981/result/395'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/981/result/415'}]"
982,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2016",[]
983,Intl. Event - Rock Junior - Arco (ITA) 2016,[]
984,Master Event - Adidas Rockstars (B) - Stuttgart (GER) 2016,[]
