,Unnamed: 0.1,stage_name,stage_score,stage_rank,Unnamed: 0,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus,restarted,time_ms
58,34,Boulder,54.7,4,17,8353,Final,93.8,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,6.0,True,1.0,True,10.0,1.0,2023-08-11 18:42:08 +00:00,locked,,,
59,35,Lead,39.1,7,17,8353,Final,93.8,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 20:07:58 +00:00,locked,True,False,0.0
60,38,Boulder,53.9,4,19,8351,Semi-final,108.0,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,False,4.0,True,2.0,True,9.9,2.0,2023-08-09 08:48:04 +00:00,locked,,,
61,38,Boulder,53.9,4,19,8351,Semi-final,108.0,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,6.0,True,5.0,True,9.6,4.0,2023-08-09 08:59:41 +00:00,locked,,,
62,38,Boulder,53.9,4,19,8351,Semi-final,108.0,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,False,6.0,True,3.0,True,9.8,1.0,2023-08-09 09:10:29 +00:00,locked,,,
63,38,Boulder,53.9,4,19,8351,Semi-final,108.0,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,True,5.0,True,5.0,True,24.6,1.0,2023-08-09 09:22:19 +00:00,locked,,,
64,39,Lead,54.1,6,19,8351,Semi-final,108.0,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 19:32:01 +00:00,locked,True,False,0.0
65,40,Boulder,54.4,5,20,8353,Final,93.5,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,False,5.0,True,3.0,True,9.8,1.0,2023-08-11 17:29:07 +00:00,locked,,,
66,40,Boulder,54.4,5,20,8353,Final,93.5,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,False,3.0,True,1.0,True,10.0,1.0,2023-08-11 17:51:22 +00:00,locked,,,
67,40,Boulder,54.4,5,20,8353,Final,93.5,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,4.0,True,4.0,True,9.7,3.0,2023-08-11 18:10:42 +00:00,locked,,,
