,route_id,route_name,top,plus,rank,corrective_rank,score,Unnamed: 0,category_round_id,round_name,athlete_id,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages,restarted,time_ms,modified,status,ascents
95,1085.0,1,False,True,31.0,32.0,30.72,65,6141,Qualification,4320,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
96,1086.0,2,False,True,31.0,29.5,30.72,65,6141,Qualification,4320,Roxana,WIENAND,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
97,1085.0,1,False,True,32.0,15.0,30.74,66,6141,Qualification,530,Nolwenn,ARC,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
98,1086.0,2,False,True,32.0,63.0,30.74,66,6141,Qualification,530,Nolwenn,ARC,,,FRA,10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
99,1085.0,1,False,False,33.0,35.0,31.3,67,6141,Qualification,1526,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
100,1086.0,2,False,False,33.0,28.0,31.3,67,6141,Qualification,1526,Nika,POTAPOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
101,1085.0,1,False,True,34.0,37.0,31.61,68,6141,Qualification,226,Olesya,PROSEKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
102,1086.0,2,False,False,34.0,27.0,31.61,68,6141,Qualification,226,Olesya,PROSEKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
103,1085.0,1,False,True,35.0,22.5,32.17,69,6141,Qualification,3465,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
104,1086.0,2,False,True,35.0,46.0,32.17,69,6141,Qualification,3465,Elnaz,REKABI,,,IRI,49,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
105,1085.0,1,False,True,36.0,32.0,32.5,70,6141,Qualification,3594,Lynn,VAN DER MEER,,,NED,50,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
106,1086.0,2,False,False,36.0,33.0,32.5,70,6141,Qualification,3594,Lynn,VAN DER MEER,,,NED,50,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
107,1085.0,1,False,False,37.0,28.0,34.29,71,6141,Qualification,11813,Cloe,COSCOY,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
108,1086.0,2,False,False,37.0,42.0,34.29,71,6141,Qualification,11813,Cloe,COSCOY,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
109,1085.0,1,False,True,38.0,48.5,34.82,72,6141,Qualification,2141,Hsiu-ju,LIN,,,TPE,22,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
110,1086.0,2,False,False,38.0,25.0,34.82,72,6141,Qualification,2141,Hsiu-ju,LIN,,,TPE,22,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
111,1085.0,1,False,True,39.0,32.0,35.1,73,6141,Qualification,12324,Martina,DEMMEL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
112,1086.0,2,False,True,39.0,38.5,35.1,73,6141,Qualification,12324,Martina,DEMMEL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
